--,--,
Chest,Machine Bench Press,http://www.youtube.com/watch?v=rT7DgCr-3pg
Chest,Flat Bench Press B/B,http://www.youtube.com/watch?v=YQ2s_Y7g5Qk
Chest,Flat Bench Press D/B,http://www.youtube.com/watch?v=wOa4YyxyiKI
Chest,Flat Bench Alternate Press D/B,http://www.youtube.com/watch?v=eozdVDA78K0
Chest,Flat Bench Fly's D/B,http://www.youtube.com/watch?v=FK4rHfWKEac
Chest,Pullover D/B or B/B,http://www.youtube.com/watch?v=SrqOu55lrYU
Chest,Incline Press B/B,http://www.youtube.com/watch?v=oZVCBM9f8Eo
Chest,Incline Press D/B,http://www.youtube.com/watch?v=ajdFwa-qM98
Chest,Incline Press Fly's D/B,http://www.youtube.com/watch?v=g3T7LsEeDWQ
Chest,Peck Deck (Machine),http://www.youtube.com/watch?v=taI4XduLpTk
Chest,Cable Cross Over Fly's,http://www.youtube.com/watch?v=D04sUKQi85Y
Chest,Flat Bench Cable Fly's,http://www.youtube.com/watch?v=bX23vF0luCY
Chest,Smith Machine Bench Press,http://www.youtube.com/watch?v=8urE8Z8AMQ4
Chest,Smith Machine Incline Press,http://www.youtube.com/watch?v=estTd1fBMck
Chest,Decline Press B/B,http://www.youtube.com/watch?v=0xRvl4Qv3ZY
Chest,Decline Pres D/B,http://www.youtube.com/watch?v=ilcbmIoz9S4
Chest,Decline Fly's,http://www.youtube.com/watch?v=FK4rHfWKEac
Chest,Pull Over D/B of B/B Cross Bench,http://www.youtube.com/watch?v=3QiBnN2r51I
Chest,Dips,http://www.youtube.com/watch?v=36krJZYK_dU
Back ,Lat Pull Down (Front & Back),https://www.youtube.com/watch?v=ecRF8ERf2q4
Back ,Seated Low Pulley Rowing,https://www.youtube.com/watch?v=GZbfZ033f74
Back ,Stand cable row R/G,https://www.youtube.com/watch?v=xQNrFHEMhI4
Back ,Bent arm Rowing,https://www.youtube.com/watch?v=ZXpZu_fmheU
Back ,Bent arm Rowing D/B or B/B,
Back ,One arm Rowing D/B,https://www.youtube.com/watch?v=PgpQ4-jHiq4
Back ,Smith Machine Bent arm Rowing,https://www.youtube.com/watch?v=7PhvyukQ4Sw
Back ,One arm Cable Rowing,https://www.youtube.com/watch?v=Ra8jU_BWP_w
Back ,Dead lift B/B of D/B,https://www.youtube.com/watch?v=vfKwjT5-86k
Back ,T Bar Rowing,https://m.youtube.com/watch?v=yPis7nlbqdY
Back ,T Bar One arm Rowing,
Back ,Bent Arm Over head D/B press,
Back ,Pull Over D/B of B/B,https://www.youtube.com/watch?v=FK4rHfWKEac
Shoulder ,D/B Shoulder Press,
Shoulder ,One Arm D/B Shoulder Press,
Shoulder ,Shoulder Press One arm,
Shoulder ,Shoulder Press Back B/B,
Shoulder ,Shoulder Press Front B/B,
Shoulder ,Shoulder Press An D/B,
Shoulder ,side lateral raises,
Shoulder ,One Arm side lateral raises,
Shoulder ,Seated side lateral raises,
Shoulder ,Front raises B/B of D/B cable,
Shoulder ,Bent arm Side lateral,
Shoulder ,Cable arm side lateral,
Shoulder ,Seated bent side lateral raises Standing Military press,
Shoulder ,Up right rowing D/B or B/B Shrugs B/B or D/B Cable,
Shoulder ,Cable Upright rowing,
Arms,Biceps Standing B/B Curl ,
Arms,Biceps Standing D/B Curl ,
Arms,Standing D/B Curl Alternate ,
Arms,Close grip Standing B/B Curl,
Arms,Z Bar curl,
Arms,Seated B/B Curl,
Arms,Seated D/B Curl,
Arms,Seated D/B Alternate Curl,
Arms,Spider Curl,
Arms,Concentration Curl D/B,
Arms,Hammer Curl D/B (Stand or Seated),
Arms,Single Hammer Curl (Stand or Seated) Standing Cable Curl,
Arms,Peacher Curl,
Arms,Wide Grip Curl,
Triceps,Triceps over head extension D/B,
Triceps,Triceps over head extension B/B,
Triceps,Single arm over head extension,
Triceps,Triceps line down D/B or B/B,
Triceps,Triceps line down single arm press,
Triceps,Triceps close grip bench press,
Triceps,Triceps press down,
Triceps,Triceps reverse grip press down,
Triceps,Triceps kick back,
Triceps,Cable kick back,
Triceps,Triceps bench dips,
Triceps,Cable over extension,
Triceps,Cable line down press,
Cardio ,Treadmil,
Cardio ,Cross trainer,
Cardio ,Bicycle (Vision Fitness),
Cardio ,Bicycle (Star Track),
Legs,Free Squat (wormup ),
Legs,Smith Machine Full Squat,
Legs,Smith Machine Half Squat,
Legs,Full Squat D/B or B/B,
Legs,Half Squat D/B or B/B,
Legs,Sumo squat ,
Legs,Leg Press,
Legs,Front Squat,
Legs,"Lunges D/B, B/B",
Legs,Leg Extension/Single or both,
Legs,Leg curl single or both,
Legs,Stiff leg dead lift,
Legs,B/B back Squat,
Legs,Seated Calf,
Legs,Standing Calf,
Outlines,Pole Side bend,
Outlines,Pole Twisting,
Outlines,Pole Good Morning Extra,
Outlines,Clean & Jurk,
Abdominous,Bicycle Crunch,
Abdominous,Sit Ups,
Abdominous,Leg Raises,
Abdominous,Leg Bond Raises Hanging leg Raises,
Abdominous,Side Touches,
Abdominous,Planx,
Abdominous,Cross Body Mountain Climber,
Abdominous,Roll Up,
Abdominous,Hips,
Abdominous,Thigh L,
Abdominous,Thigh R,
Abdominous,Calf,
Arms,wrist curl ,
Arms,wrist curl hanging B/B,
Arms,Cable curl,
Chest,crossover fly's (lover),
Back,Cable row R/G (stand),
Glutes,Cable cick Back,
Glutes,Hip Trust B/B,
Glutes,Medius kick Back ,
Chest,Knee push ups,
Back,chine ups (front & Back),
Arms,Reverse Curl ,